dataset_name,file_path,sentiment_value,emotional_category,speaker_id,gender,duration,duration_trimmed,split,renamed_file_path
CREMA-D,./dataset/CREMA-D/1074_ITH_NEU_XX.wav,0,Neutrality,1074,Female,2.7,2.7,train,./dataset/splitted/train/CREMA-D_1074_ITH_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1023_ITH_ANG_XX.wav,-1,Anger,1023,Male,2.7,2.7,train,./dataset/splitted/train/CREMA-D_1023_ITH_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1036_ITH_ANG_XX.wav,-1,Anger,1036,Male,3.1,3.1,train,./dataset/splitted/train/CREMA-D_1036_ITH_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1005_IEO_DIS_LO.wav,-1,Disgust,1005,Male,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1005_IEO_DIS_LO_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1010_IEO_DIS_LO.wav,-1,Disgust,1010,Female,2.64,2.64,train,./dataset/splitted/train/CREMA-D_1010_IEO_DIS_LO_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1084_IEO_SAD_LO.wav,-1,Sadness,1084,Female,2.74,2.74,train,./dataset/splitted/train/CREMA-D_1084_IEO_SAD_LO_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1091_IEO_SAD_LO.wav,-1,Sadness,1091,Female,2.17,2.17,test,./dataset/splitted/test/CREMA-D_1091_IEO_SAD_LO_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1076_TIE_HAP_XX.wav,1,Happiness,1076,Female,3.37,3.37,train,./dataset/splitted/train/CREMA-D_1076_TIE_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1063_TIE_HAP_XX.wav,1,Happiness,1063,Female,2.6,2.6,train,./dataset/splitted/train/CREMA-D_1063_TIE_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1057_TIE_FEA_XX.wav,-1,Fear,1057,Male,2.64,2.64,test,./dataset/splitted/test/CREMA-D_1057_TIE_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1042_TIE_FEA_XX.wav,-1,Fear,1042,Male,2.64,2.64,train,./dataset/splitted/train/CREMA-D_1042_TIE_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1079_IWW_SAD_XX.wav,-1,Sadness,1079,Female,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1079_IWW_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1041_WSI_DIS_XX.wav,-1,Disgust,1041,Male,3.0,3.0,test,./dataset/splitted/test/CREMA-D_1041_WSI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1050_TIE_SAD_XX.wav,-1,Sadness,1050,Male,2.87,2.87,test,./dataset/splitted/test/CREMA-D_1050_TIE_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1054_WSI_DIS_XX.wav,-1,Disgust,1054,Female,2.7,2.7,train,./dataset/splitted/train/CREMA-D_1054_WSI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1045_TIE_SAD_XX.wav,-1,Sadness,1045,Male,3.2,3.2,train,./dataset/splitted/train/CREMA-D_1045_TIE_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1083_IEO_FEA_LO.wav,-1,Fear,1083,Male,2.17,2.17,train,./dataset/splitted/train/CREMA-D_1083_IEO_FEA_LO_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1019_IWW_ANG_XX.wav,-1,Anger,1019,Male,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1019_IWW_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1044_ITH_FEA_XX.wav,-1,Fear,1044,Male,2.94,2.94,train,./dataset/splitted/train/CREMA-D_1044_ITH_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1051_ITH_FEA_XX.wav,-1,Fear,1051,Male,2.64,2.64,train,./dataset/splitted/train/CREMA-D_1051_ITH_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1065_ITH_HAP_XX.wav,1,Happiness,1065,Male,2.54,2.54,train,./dataset/splitted/train/CREMA-D_1065_ITH_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1054_DFA_DIS_XX.wav,-1,Disgust,1054,Female,1.84,1.84,train,./dataset/splitted/train/CREMA-D_1054_DFA_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1041_DFA_DIS_XX.wav,-1,Disgust,1041,Male,2.3,2.3,test,./dataset/splitted/test/CREMA-D_1041_DFA_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1070_ITH_HAP_XX.wav,1,Happiness,1070,Male,2.74,2.74,train,./dataset/splitted/train/CREMA-D_1070_ITH_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1072_TIE_NEU_XX.wav,0,Neutrality,1072,Female,3.47,3.47,test,./dataset/splitted/test/CREMA-D_1072_TIE_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1067_TIE_NEU_XX.wav,0,Neutrality,1067,Male,2.34,2.34,train,./dataset/splitted/train/CREMA-D_1067_TIE_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1030_TIE_ANG_XX.wav,-1,Anger,1030,Female,3.37,3.37,train,./dataset/splitted/train/CREMA-D_1030_TIE_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1025_TIE_ANG_XX.wav,-1,Anger,1025,Female,3.9,3.9,train,./dataset/splitted/train/CREMA-D_1025_TIE_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1043_ITH_SAD_XX.wav,-1,Sadness,1043,Female,2.27,2.27,train,./dataset/splitted/train/CREMA-D_1043_ITH_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1056_ITH_SAD_XX.wav,-1,Sadness,1056,Female,1.87,1.87,train,./dataset/splitted/train/CREMA-D_1056_ITH_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1050_IEO_NEU_XX.wav,0,Neutrality,1050,Male,2.07,2.07,test,./dataset/splitted/test/CREMA-D_1050_IEO_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1045_IEO_NEU_XX.wav,0,Neutrality,1045,Male,1.97,1.97,train,./dataset/splitted/train/CREMA-D_1045_IEO_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1079_MTI_NEU_XX.wav,0,Neutrality,1079,Female,2.57,2.57,train,./dataset/splitted/train/CREMA-D_1079_MTI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1086_TAI_HAP_XX.wav,1,Happiness,1086,Male,2.04,2.04,train,./dataset/splitted/train/CREMA-D_1086_TAI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1027_IEO_DIS_HI.wav,-1,Disgust,1027,Male,2.3,2.3,train,./dataset/splitted/train/CREMA-D_1027_IEO_DIS_HI_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1032_IEO_DIS_HI.wav,-1,Disgust,1032,Male,3.54,3.54,train,./dataset/splitted/train/CREMA-D_1032_IEO_DIS_HI_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1062_IWL_DIS_XX.wav,-1,Disgust,1062,Male,2.87,2.87,train,./dataset/splitted/train/CREMA-D_1062_IWL_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1077_IWL_DIS_XX.wav,-1,Disgust,1077,Male,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1077_IWL_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1036_IEO_DIS_MD.wav,-1,Disgust,1036,Male,2.0,2.0,train,./dataset/splitted/train/CREMA-D_1036_IEO_DIS_MD_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1083_TSI_FEA_XX.wav,-1,Fear,1083,Male,2.67,2.67,train,./dataset/splitted/train/CREMA-D_1083_TSI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1023_IEO_DIS_MD.wav,-1,Disgust,1023,Male,1.53,1.53,train,./dataset/splitted/train/CREMA-D_1023_IEO_DIS_MD_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1005_TSI_DIS_XX.wav,-1,Disgust,1005,Male,3.6,3.6,train,./dataset/splitted/train/CREMA-D_1005_TSI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1010_TSI_DIS_XX.wav,-1,Disgust,1010,Female,2.74,2.74,train,./dataset/splitted/train/CREMA-D_1010_TSI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1091_IEO_HAP_MD.wav,1,Happiness,1091,Female,2.67,2.67,test,./dataset/splitted/test/CREMA-D_1091_IEO_HAP_MD_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1084_IEO_HAP_MD.wav,1,Happiness,1084,Female,2.34,2.34,train,./dataset/splitted/train/CREMA-D_1084_IEO_HAP_MD_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1034_TAI_DIS_XX.wav,-1,Disgust,1034,Male,3.0,3.0,train,./dataset/splitted/train/CREMA-D_1034_TAI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1021_TAI_DIS_XX.wav,-1,Disgust,1021,Female,3.37,3.37,train,./dataset/splitted/train/CREMA-D_1021_TAI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1084_TSI_SAD_XX.wav,-1,Sadness,1084,Female,3.17,3.17,train,./dataset/splitted/train/CREMA-D_1084_TSI_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1080_IEO_HAP_HI.wav,1,Happiness,1080,Male,2.28,2.28,train,./dataset/splitted/train/CREMA-D_1080_IEO_HAP_HI_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1069_IOM_SAD_XX.wav,-1,Sadness,1069,Male,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1069_IOM_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1091_TSI_SAD_XX.wav,-1,Sadness,1091,Female,2.67,2.67,test,./dataset/splitted/test/CREMA-D_1091_TSI_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1082_TAI_NEU_XX.wav,0,Neutrality,1082,Female,2.1,2.1,train,./dataset/splitted/train/CREMA-D_1082_TAI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1049_MTI_FEA_XX.wav,-1,Fear,1049,Female,3.0,3.0,train,./dataset/splitted/train/CREMA-D_1049_MTI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1068_MTI_HAP_XX.wav,1,Happiness,1068,Male,2.64,2.64,train,./dataset/splitted/train/CREMA-D_1068_MTI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1009_IOM_ANG_XX.wav,-1,Anger,1009,Female,2.84,2.84,test,./dataset/splitted/test/CREMA-D_1009_IOM_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1058_ITS_DIS_XX.wav,-1,Disgust,1058,Female,3.24,3.24,train,./dataset/splitted/train/CREMA-D_1058_ITS_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1083_IWL_ANG_XX.wav,-1,Anger,1083,Male,3.7,3.7,train,./dataset/splitted/train/CREMA-D_1083_IWL_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1079_TAI_HAP_XX.wav,1,Happiness,1079,Female,2.37,2.37,train,./dataset/splitted/train/CREMA-D_1079_TAI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1048_IEO_SAD_MD.wav,-1,Sadness,1048,Male,2.7,2.7,train,./dataset/splitted/train/CREMA-D_1048_IEO_SAD_MD_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1009_IWL_SAD_XX.wav,-1,Sadness,1009,Female,3.07,3.07,test,./dataset/splitted/test/CREMA-D_1009_IWL_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1058_TAI_FEA_XX.wav,-1,Fear,1058,Female,2.47,2.47,train,./dataset/splitted/train/CREMA-D_1058_TAI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1086_MTI_NEU_XX.wav,0,Neutrality,1086,Male,2.2,2.2,train,./dataset/splitted/train/CREMA-D_1086_MTI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1088_IWL_DIS_XX.wav,-1,Disgust,1088,Male,3.14,3.14,train,./dataset/splitted/train/CREMA-D_1088_IWL_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1048_TSI_HAP_XX.wav,1,Happiness,1048,Male,2.3,2.3,train,./dataset/splitted/train/CREMA-D_1048_TSI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1059_IEO_SAD_HI.wav,-1,Sadness,1059,Male,2.67,2.67,train,./dataset/splitted/train/CREMA-D_1059_IEO_SAD_HI_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1069_TSI_FEA_XX.wav,-1,Fear,1069,Male,1.63,1.63,train,./dataset/splitted/train/CREMA-D_1069_TSI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1091_IOM_FEA_XX.wav,-1,Fear,1091,Female,3.0,3.0,test,./dataset/splitted/test/CREMA-D_1091_IOM_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1084_IOM_FEA_XX.wav,-1,Fear,1084,Female,3.1,3.1,train,./dataset/splitted/train/CREMA-D_1084_IOM_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1046_ITS_ANG_XX.wav,-1,Anger,1046,Female,2.57,2.57,train,./dataset/splitted/train/CREMA-D_1046_ITS_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1053_ITS_ANG_XX.wav,-1,Anger,1053,Female,2.1,2.1,test,./dataset/splitted/test/CREMA-D_1053_ITS_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1017_IOM_DIS_XX.wav,-1,Disgust,1017,Male,3.24,3.24,train,./dataset/splitted/train/CREMA-D_1017_IOM_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1002_IOM_DIS_XX.wav,-1,Disgust,1002,Female,2.77,2.77,train,./dataset/splitted/train/CREMA-D_1002_IOM_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1004_ITS_NEU_XX.wav,0,Neutrality,1004,Female,2.24,2.24,test,./dataset/splitted/test/CREMA-D_1004_ITS_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1011_ITS_NEU_XX.wav,0,Neutrality,1011,Male,2.44,2.44,train,./dataset/splitted/train/CREMA-D_1011_ITS_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1083_IOM_SAD_XX.wav,-1,Sadness,1083,Male,2.84,2.84,train,./dataset/splitted/train/CREMA-D_1083_IOM_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1082_MTI_HAP_XX.wav,1,Happiness,1082,Female,2.04,2.04,train,./dataset/splitted/train/CREMA-D_1082_MTI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1026_ITS_SAD_XX.wav,-1,Sadness,1026,Male,2.17,2.17,train,./dataset/splitted/train/CREMA-D_1026_ITS_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1033_ITS_SAD_XX.wav,-1,Sadness,1033,Male,2.5,2.5,train,./dataset/splitted/train/CREMA-D_1033_ITS_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1068_TAI_NEU_XX.wav,0,Neutrality,1068,Male,3.27,3.27,train,./dataset/splitted/train/CREMA-D_1068_TAI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1059_TSI_NEU_XX.wav,0,Neutrality,1059,Male,2.4,2.4,train,./dataset/splitted/train/CREMA-D_1059_TSI_NEU_XX_Neutrality_0.wav
CREMA-D,./dataset/CREMA-D/1021_ITS_FEA_XX.wav,-1,Fear,1021,Female,2.9,2.9,train,./dataset/splitted/train/CREMA-D_1021_ITS_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1034_ITS_FEA_XX.wav,-1,Fear,1034,Male,2.44,2.44,train,./dataset/splitted/train/CREMA-D_1034_ITS_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1015_ITS_HAP_XX.wav,1,Happiness,1015,Male,1.5,1.5,train,./dataset/splitted/train/CREMA-D_1015_ITS_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1028_IEO_ANG_MD.wav,-1,Anger,1028,Female,2.04,2.04,train,./dataset/splitted/train/CREMA-D_1028_IEO_ANG_MD_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1069_IWL_ANG_XX.wav,-1,Anger,1069,Male,2.14,2.14,train,./dataset/splitted/train/CREMA-D_1069_IWL_ANG_XX_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1039_IEO_ANG_HI.wav,-1,Anger,1039,Male,2.28,2.28,train,./dataset/splitted/train/CREMA-D_1039_IEO_ANG_HI_Anger_-1.wav
CREMA-D,./dataset/CREMA-D/1030_MTI_DIS_XX.wav,-1,Disgust,1030,Female,3.07,3.07,train,./dataset/splitted/train/CREMA-D_1030_MTI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1025_MTI_DIS_XX.wav,-1,Disgust,1025,Female,2.9,2.9,train,./dataset/splitted/train/CREMA-D_1025_MTI_DIS_XX_Disgust_-1.wav
CREMA-D,./dataset/CREMA-D/1038_WSI_FEA_XX.wav,-1,Fear,1038,Male,2.67,2.67,train,./dataset/splitted/train/CREMA-D_1038_WSI_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1081_IWW_FEA_XX.wav,-1,Fear,1081,Male,2.3,2.3,test,./dataset/splitted/test/CREMA-D_1081_IWW_FEA_XX_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1019_WSI_HAP_XX.wav,1,Happiness,1019,Male,2.04,2.04,train,./dataset/splitted/train/CREMA-D_1019_WSI_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1089_TIE_HAP_XX.wav,1,Happiness,1089,Female,3.0,3.0,train,./dataset/splitted/train/CREMA-D_1089_TIE_HAP_XX_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1086_IWW_SAD_XX.wav,-1,Sadness,1086,Male,2.34,2.34,train,./dataset/splitted/train/CREMA-D_1086_IWW_SAD_XX_Sadness_-1.wav
CREMA-D,./dataset/CREMA-D/1069_IEO_FEA_LO.wav,-1,Fear,1069,Male,1.94,1.94,train,./dataset/splitted/train/CREMA-D_1069_IEO_FEA_LO_Fear_-1.wav
CREMA-D,./dataset/CREMA-D/1048_IEO_HAP_LO.wav,1,Happiness,1048,Male,2.04,2.04,train,./dataset/splitted/train/CREMA-D_1048_IEO_HAP_LO_Happiness_1.wav
CREMA-D,./dataset/CREMA-D/1007_IWW_DIS_XX.wav,-1,Disgust,1007,Male,2.94,2.94,train,./dataset/splitted/train/CREMA-D_1007_IWW_DIS_XX_Disgust_-1.wav
